x,y,z,s
53.42,0.0,0.0,55.4
53.52,0.0,0.0,55.5
53.62,0.0,0.0,55.6
53.72,0.0,0.0,55.7
53.82,0.0,0.0,55.8
53.92,0.0,0.0,55.9
54.02,0.0,0.0,56.0
54.12,0.0,0.0,56.1
54.22,0.0,0.0,56.2
54.32,0.0,0.0,56.3
54.42,0.0,0.0,56.4
54.52,0.0,0.0,56.5
54.62,0.0,0.0,56.6
54.72,0.0,0.0,56.7
54.82,0.0,0.0,56.8
54.92,0.0,0.0,56.9
55.02,0.0,0.0,57.0
55.12,0.0,0.0,57.1
55.22,0.0,0.0,57.2
55.32,0.0,0.0,57.3
55.42,0.0,0.0,57.4
55.52,0.0,0.0,57.5
55.62,0.0,0.0,57.6
55.72,0.0,0.0,57.7
55.82,0.0,0.0,57.8
55.92,0.0,0.0,57.9
56.02,0.0,0.0,58.0
56.12,0.0,0.0,58.1
56.22,0.0,0.0,58.2
56.32,0.0,0.0,58.3
56.42,0.0,0.0,58.4
56.52,0.0,0.0,58.5
56.62,0.0,0.0,58.6
56.72,0.0,0.0,58.7
56.82,0.0,0.0,58.8
56.92,0.0,0.0,58.9
57.02,0.0,0.0,59.0
57.12,0.0,0.0,59.1
57.22,0.0,0.0,59.2
57.32,0.0,0.0,59.3
57.42,0.0,0.0,59.4
57.52,0.0,0.0,59.5
57.62,0.0,0.0,59.6
57.72,0.0,0.0,59.7
57.82,0.0,0.0,59.8
57.92,0.0,0.0,59.9
58.02,0.0,0.0,60.0
58.12,0.0,0.0,60.1
58.22,0.0,0.0,60.2
58.32,0.0,0.0,60.3
58.42,0.0,0.0,60.4
58.52,0.0,0.0,60.5
58.62,0.0,0.0,60.6
58.72,0.0,0.0,60.7
58.82,0.0,0.0,60.8
58.92,0.0,0.0,60.9
59.02,0.0,0.0,61.0
59.12,0.0,0.0,61.1
59.22,0.0,0.0,61.2
59.32,0.0,0.0,61.3
59.42,0.0,0.0,61.4
59.52,0.0,0.0,61.5
59.62,0.0,0.0,61.6
59.72,0.0,0.0,61.7
59.82,0.0,0.0,61.8
59.92,0.0,0.0,61.9
60.02,0.0,0.0,62.0
60.12,0.0,0.0,62.1
60.22,0.0,0.0,62.2
60.32,0.0,0.0,62.3
60.42,0.0,0.0,62.4
60.52,0.0,0.0,62.5
60.62,0.0,0.0,62.6
60.72,0.0,0.0,62.7
60.82,0.0,0.0,62.8
60.92,0.0,0.0,62.9
61.02,0.0,0.0,63.0
61.12,0.0,0.0,63.1
61.22,0.0,0.0,63.2
61.32,0.0,0.0,63.3
61.42,0.0,0.0,63.4
61.52,0.0,0.0,63.5
61.62,0.0,0.0,63.6
61.72,0.0,0.0,63.7
61.82,0.0,0.0,63.8
61.92,0.0,0.0,63.9
62.02,0.0,0.0,64.0
62.12,0.0,0.0,64.1
62.22,0.0,0.0,64.2
62.32,0.0,0.0,64.3
62.42,0.0,0.0,64.4
62.52,0.0,0.0,64.5
62.62,0.0,0.0,64.6
62.72,0.0,0.0,64.7
62.82,0.0,0.0,64.8
62.92,0.0,0.0,64.9
63.02,0.0,0.0,65.0
63.12,0.0,0.0,65.1
